"Video ID",Title,"View Count","Has Regional Restrictions?"
XqZsoesa55w,"Baby Shark Dance | #babyshark Most Viewed Video | Animal Songs | PINKFONG Songs for Children","10,308,399,700",0
kJQP7kiw5Fk,"Luis Fonsi - Despacito ft. Daddy Yankee","7,773,599,463",0
F4tHL8reNCs,"Johny Johny Yes Papa 👶 THE BEST Song for Children | LooLoo Kids","6,222,669,503",0
JGwWNGJdvx8,"Ed Sheeran - Shape of You (Official Music Video)","5,641,680,704",0
RgKAFK5djSk,"Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack","5,437,737,787",0
WRVsOCh907o,"Bath Song | CoComelon Nursery Rhymes & Kids Songs","5,084,348,403",0
hq3yfQnllfQ,"Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children","4,504,001,585",0
OPf0YbXqDm0,"Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars","4,488,776,244",0
KYniUCGPGLs,"Маша и Медведь (Masha and The Bear) - Маша плюс каша (17 Серия)","4,486,713,149",0
9bZkp7q19f0,"PSY - GANGNAM STYLE(강남스타일) M/V","4,360,320,834",0
FzG4uDgje3M,"El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music]","3,880,973,079",0
e_04ZrNroTo,"Wheels on the Bus | CoComelon Nursery Rhymes & Kids Songs","3,777,256,804",0
09R8_2nJtjg,"Maroon 5 - Sugar (Official Music Video)","3,656,342,243",0
CevxZvSJLk8,"Katy Perry - Roar (Official)","3,537,669,083",0
hT_nvWreIhg,"OneRepublic - Counting Stars (Official Music Video)","3,524,801,673",0
fRh_vgS2dFE,"Justin Bieber - Sorry (PURPOSE : The Movement)","3,520,206,198",0
lp-EO5I60KA,"Ed Sheeran - Thinking Out Loud (Official Music Video)","3,416,138,280",0
k85mRPqvMbE,"Crazy Frog - Axel F (Official Video)","3,262,550,778",0
aJOTlE1K90k,"Maroon 5 - Girls Like You ft. Cardi B (Official Music Video)","3,247,963,451",1
60ItHLz5WEA,"Alan Walker - Faded","3,243,976,760",0
0KSOMA3QBU0,"Katy Perry - Dark Horse (Official) ft. Juicy J","3,234,918,086",0
RBumgq5yVrA,"Passenger | Let Her Go (Official Video)","3,186,805,833",0
NUsoVlDFqZg,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)","3,174,814,621",0
YqeW9_5kURI,"Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video)","3,174,206,519",0
MR5XSOdjKMA,"Baa Baa Black Sheep | CoComelon Nursery Rhymes & Kids Songs","3,161,705,178",0
nfWlot6h_JM,"Taylor Swift - Shake It Off","3,150,172,625",0
2Vv-BfVoq4g,"Ed Sheeran - Perfect (Official Music Video)","3,110,146,079",0
pRpeEdMmmQ0,"Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song)","3,079,137,571",0
wnJ6LuUFpMo,"J Balvin, Willy William - Mi Gente (Official Video)","3,051,088,405",0
YQHsXMglC9A,"Adele - Hello","2,956,169,633",0
e-ORhEE9VVg,"Taylor Swift - Blank Space","2,943,390,361",0
3bLfzgZ-wO8,"लकड़ी की काठी | Lakdi ki kathi | Popular Hindi Children Songs | Animated Songs by JingleToons","2,902,324,633",0
138nNxXUJXw,"Humpty the Train on a Fruits Ride | हम्प्टी ट्रैन और उसके फल दोस्तों से मिलिए  | Kiddiestv Hindi","2,894,805,970",0
3AtDnEC4zak,"Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]","2,791,219,623",0
astISOttCQ0,"The Gummy Bear Song - Long English Version","2,789,866,726",0
PT2_F-1esPk,"The Chainsmokers - Closer (Lyric) ft. Halsey","2,786,371,258",0
L0MK7qz13bU,"FROZEN | Let It Go Sing-along | Official Disney UK","2,775,272,722",0
EGymN-Lc87M,"Old MacDonald Had a Farm - Kids nursery rhymes","2,730,102,791",0
6Mgqbai3fKo,"Shakira - Chantaje (Official Video) ft. Maluma","2,716,757,858",1
kffacxfA7G4,"Justin Bieber - Baby (Official Music Video) ft. Ludacris","2,695,057,162",0
papuvlVeZg8,"Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video]","2,648,699,761",0
k2qgadSvNyU,"Dua Lipa - New Rules (Official Music Video)","2,613,661,647",0
5GL9JoH4Sws,"Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign","2,552,681,619",0
kOkQ4T5WO9E,"Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna","2,550,052,419",0
7PCkvCPvDXk,"Meghan Trainor - All About That Bass","2,508,108,791",0
2vjPBrBU-TM,"Sia - Chandelier (Official Video)","2,474,748,575",1
1_zgKRBrT0Y,"Pedro Capó, Farruko - Calma (Remix - Official Video)","2,474,714,909",0
pXRviuL6vMY,"twenty one pilots: Stressed Out [OFFICIAL VIDEO]","2,470,112,324",0
